canonical_cited_author,orientation_label,citation_links,author_total,percent
A. Blaye,Applied psychology in education,3,34,8.823529411764707
A. Blaye,Fundamental educational interaction,29,34,85.29411764705883
A. Blaye,Theoretical/reflexive psychology of education,1,34,2.941176470588235
A. Blaye,Unclear,1,34,2.941176470588235
A.-N. Perret-Clermont,Applied psychology in education,9,87,10.344827586206897
A.-N. Perret-Clermont,Fundamental educational interaction,64,87,73.5632183908046
A.-N. Perret-Clermont,Methodological or measurement contribution,2,87,2.2988505747126435
A.-N. Perret-Clermont,Theoretical/reflexive psychology of education,9,87,10.344827586206897
A.-N. Perret-Clermont,Unclear,3,87,3.4482758620689653
B. Inhelder,Applied psychology in education,12,41,29.268292682926827
B. Inhelder,Context-sensitive educational psychology,1,41,2.4390243902439024
B. Inhelder,Fundamental educational interaction,20,41,48.78048780487805
B. Inhelder,Methodological or measurement contribution,2,41,4.878048780487805
B. Inhelder,Theoretical/reflexive psychology of education,3,41,7.317073170731707
B. Inhelder,Unclear,3,41,7.317073170731707
B. Rogoff,Applied psychology in education,7,69,10.144927536231885
B. Rogoff,Context-sensitive educational psychology,3,69,4.3478260869565215
B. Rogoff,Fundamental educational interaction,44,69,63.76811594202898
B. Rogoff,Methodological or measurement contribution,1,69,1.4492753623188406
B. Rogoff,Theoretical/reflexive psychology of education,9,69,13.043478260869565
B. Rogoff,Unclear,5,69,7.246376811594203
C. Darnon,Applied psychology in education,18,38,47.368421052631575
C. Darnon,Context-sensitive educational psychology,4,38,10.526315789473683
C. Darnon,Fundamental educational interaction,13,38,34.21052631578947
C. Darnon,Theoretical/reflexive psychology of education,2,38,5.263157894736842
C. Darnon,Unclear,1,38,2.631578947368421
C. Pontecorvo,Applied psychology in education,5,33,15.151515151515152
C. Pontecorvo,Fundamental educational interaction,22,33,66.66666666666666
C. Pontecorvo,Methodological or measurement contribution,2,33,6.0606060606060606
C. Pontecorvo,Theoretical/reflexive psychology of education,4,33,12.121212121212121
E. Wenger,Applied psychology in education,6,36,16.666666666666664
E. Wenger,Context-sensitive educational psychology,3,36,8.333333333333332
E. Wenger,Fundamental educational interaction,20,36,55.55555555555556
E. Wenger,Methodological or measurement contribution,2,36,5.555555555555555
E. Wenger,Theoretical/reflexive psychology of education,3,36,8.333333333333332
E. Wenger,Unclear,2,36,5.555555555555555
F. Butera,Applied psychology in education,17,33,51.515151515151516
F. Butera,Fundamental educational interaction,14,33,42.42424242424242
F. Butera,Theoretical/reflexive psychology of education,1,33,3.0303030303030303
F. Butera,Unclear,1,33,3.0303030303030303
F. Carugati,Applied psychology in education,15,57,26.31578947368421
F. Carugati,Context-sensitive educational psychology,2,57,3.508771929824561
F. Carugati,Fundamental educational interaction,29,57,50.877192982456144
F. Carugati,Methodological or measurement contribution,5,57,8.771929824561402
F. Carugati,Theoretical/reflexive psychology of education,5,57,8.771929824561402
F. Carugati,Unclear,1,57,1.7543859649122806
G. Mugny,Applied psychology in education,19,94,20.212765957446805
G. Mugny,Context-sensitive educational psychology,2,94,2.127659574468085
G. Mugny,Fundamental educational interaction,61,94,64.8936170212766
G. Mugny,Methodological or measurement contribution,3,94,3.1914893617021276
G. Mugny,Theoretical/reflexive psychology of education,7,94,7.446808510638298
G. Mugny,Unclear,2,94,2.127659574468085
G. Vergnaud,Applied psychology in education,8,40,20.0
G. Vergnaud,Context-sensitive educational psychology,1,40,2.5
G. Vergnaud,Fundamental educational interaction,27,40,67.5
G. Vergnaud,Theoretical/reflexive psychology of education,2,40,5.0
G. Vergnaud,Unclear,2,40,5.0
J. Bruner,Applied psychology in education,5,45,11.11111111111111
J. Bruner,Context-sensitive educational psychology,4,45,8.88888888888889
J. Bruner,Fundamental educational interaction,28,45,62.22222222222222
J. Bruner,Methodological or measurement contribution,1,45,2.2222222222222223
J. Bruner,Theoretical/reflexive psychology of education,5,45,11.11111111111111
J. Bruner,Unclear,2,45,4.444444444444445
J. Lave,Applied psychology in education,6,43,13.953488372093023
J. Lave,Context-sensitive educational psychology,3,43,6.976744186046512
J. Lave,Fundamental educational interaction,24,43,55.81395348837209
J. Lave,Methodological or measurement contribution,1,43,2.3255813953488373
J. Lave,Theoretical/reflexive psychology of education,8,43,18.6046511627907
J. Lave,Unclear,1,43,2.3255813953488373
J. Piaget,Applied psychology in education,30,131,22.900763358778626
J. Piaget,Context-sensitive educational psychology,5,131,3.816793893129771
J. Piaget,Fundamental educational interaction,72,131,54.961832061068705
J. Piaget,Methodological or measurement contribution,8,131,6.106870229007633
J. Piaget,Theoretical/reflexive psychology of education,9,131,6.870229007633588
J. Piaget,Unclear,7,131,5.343511450381679
J. S. Bruner,Applied psychology in education,8,61,13.114754098360656
J. S. Bruner,Context-sensitive educational psychology,3,61,4.918032786885246
J. S. Bruner,Fundamental educational interaction,38,61,62.295081967213115
J. S. Bruner,Methodological or measurement contribution,3,61,4.918032786885246
J. S. Bruner,Theoretical/reflexive psychology of education,5,61,8.19672131147541
J. S. Bruner,Unclear,4,61,6.557377049180328
J. V. Wertsch,Applied psychology in education,1,44,2.272727272727273
J. V. Wertsch,Context-sensitive educational psychology,2,44,4.545454545454546
J. V. Wertsch,Fundamental educational interaction,31,44,70.45454545454545
J. V. Wertsch,Methodological or measurement contribution,1,44,2.272727272727273
J. V. Wertsch,Theoretical/reflexive psychology of education,6,44,13.636363636363635
J. V. Wertsch,Unclear,3,44,6.8181818181818175
J. Valsiner,Applied psychology in education,4,34,11.76470588235294
J. Valsiner,Context-sensitive educational psychology,2,34,5.88235294117647
J. Valsiner,Fundamental educational interaction,15,34,44.11764705882353
J. Valsiner,Theoretical/reflexive psychology of education,9,34,26.47058823529412
J. Valsiner,Unclear,4,34,11.76470588235294
L. B. Resnick,Applied psychology in education,11,50,22.0
L. B. Resnick,Context-sensitive educational psychology,2,50,4.0
L. B. Resnick,Fundamental educational interaction,29,50,57.99999999999999
L. B. Resnick,Methodological or measurement contribution,1,50,2.0
L. B. Resnick,Theoretical/reflexive psychology of education,6,50,12.0
L. B. Resnick,Unclear,1,50,2.0
L. S. Vygotsky,Applied psychology in education,22,146,15.068493150684931
L. S. Vygotsky,Context-sensitive educational psychology,2,146,1.36986301369863
