decade,collaboration_type,n,decade_total,share_percent
1980,Multi-country authorship,20,208,9.615384615384617
1980,No affiliation country found,27,208,12.980769230769232
1980,Single-country authorship,161,208,77.40384615384616
1990,Multi-country authorship,52,324,16.049382716049383
1990,No affiliation country found,8,324,2.4691358024691357
1990,Single-country authorship,264,324,81.48148148148148
2000,Multi-country authorship,57,299,19.063545150501675
2000,No affiliation country found,5,299,1.6722408026755853
2000,Single-country authorship,237,299,79.26421404682274
2010,Multi-country authorship,95,398,23.869346733668344
2010,No affiliation country found,6,398,1.507537688442211
2010,Single-country authorship,297,398,74.62311557788944
2020,Multi-country authorship,181,656,27.59146341463415
2020,No affiliation country found,20,656,3.048780487804878
2020,Single-country authorship,455,656,69.35975609756098
