collaboration_type,orientation_label,n,total,share_percent
Multi-country authorship,Fundamental educational interaction,111,405,27.40740740740741
Multi-country authorship,Context-sensitive educational psychology,37,405,9.135802469135802
Multi-country authorship,Applied psychology in education,181,405,44.69135802469136
Multi-country authorship,Theoretical/reflexive psychology of education,34,405,8.395061728395062
Multi-country authorship,Methodological or measurement contribution,20,405,4.938271604938271
Multi-country authorship,Unclear,22,405,5.432098765432099
No affiliation country found,Fundamental educational interaction,26,66,39.39393939393939
No affiliation country found,Context-sensitive educational psychology,1,66,1.5151515151515151
No affiliation country found,Applied psychology in education,21,66,31.818181818181817
No affiliation country found,Theoretical/reflexive psychology of education,15,66,22.727272727272727
No affiliation country found,Methodological or measurement contribution,1,66,1.5151515151515151
No affiliation country found,Unclear,2,66,3.0303030303030303
Single-country authorship,Fundamental educational interaction,498,1414,35.21923620933522
Single-country authorship,Context-sensitive educational psychology,116,1414,8.203677510608204
Single-country authorship,Applied psychology in education,619,1414,43.77652050919378
Single-country authorship,Theoretical/reflexive psychology of education,69,1414,4.879773691654879
Single-country authorship,Methodological or measurement contribution,71,1414,5.021216407355021
Single-country authorship,Unclear,41,1414,2.8995756718528995
