year,members,countries,shannon_country_diversity
1986,51,20,2.729
1987,51,20,2.751
1988,50,20,2.735
1989,53,21,2.77
1990,53,21,2.766
1991,53,21,2.766
1992,56,23,2.86
1993,54,22,2.807
1994,53,26,3.125
1995,53,26,3.119
1996,54,26,3.107
1997,54,27,3.132
1998,54,27,3.132
1999,54,27,3.132
2000,53,27,3.145
2001,51,27,3.145
2002,51,27,3.145
2003,51,27,3.145
2004,52,27,3.132
2005,52,27,3.132
2006,52,27,3.132
2007,45,24,3.028
2008,45,24,3.028
2009,45,24,3.028
2010,45,24,3.028
2011,43,24,3.068
2012,43,24,3.068
2013,43,24,3.068
2014,42,23,3.028
2015,88,29,3.182
2016,49,24,3.022
2017,49,24,3.022
2018,50,24,3.021
2019,49,24,3.022
2020,51,24,3.003
2021,50,24,2.992
2022,65,26,3.048
