lineage,n_authors,total_article_author_links,authors_with_counts
"Motivation, self-regulation and identity",175,9296,J. S. Eccles (248); R. M. Ryan (212); E. L. Deci (207); H. W. Marsh (203); A. Bandura (196); A. Wigfield (193); P. R. Pintrich (186); R. Pekrun (171); U. Trautwein (140); T. Goetz (117); C. S. Dweck (115); B. J. Zimmerman (114); D. H. Schunk (112); C. Midgley (105); A. J. Elliot (104); M. Boekaerts (101); U. Schiefele (90); A. J. Martin (85); A. C. Frenzel (82); F. Guay (82); J. M. Harackiewicz (81); J. L. Meece (80); K. Salmela-Aro (79); J. A. Fredricks (79); E. A. Skinner (78); R. P. Perry (77); Y. Wang (77); F. Pajares (75); M. Wang (75); J. Eccles (75); M. Bong (74); M. Vansteenkiste (73); B. Weiner (73); S. Harter (73); J. Lee (72); J. Reeve (71); K. Murayama (71); J. P. Connell (68); P. C. Blumenfeld (66); R. J. Vallerand (65); R. B. King (63); K. E. Barron (63); C. A. Wolters (61); B. Nagengast (60); E. M. Skaalvik (58); A. Krapp (55); R. Steinmayr (54); Y. Zhang (54); B. Soenens (53); M. Niemivirta (51); J. G. Nicholls (51); A. M. Ryan (51); T. Garcia (51); W. Lens (50); J. Moller (49); T. D. Little (49); E. M. Anderman (49); C. Ames (49); P. H. Winne (48); A. Minnaert (48); C. Wang (48); J. D. Vermunt (47); N. C. Hall (47); C. S. Hulleman (47); F. Preckel (47); S. Hidi (46); W. B. Schaufeli (46); A. B. Bakker (45); W. S. Grolnick (45); S. L. Christenson (45); R. M. Klassen (44); L. Zhang (44); T. Urdan (43); L. Linnenbrink-Garcia (43); K. A. Renninger (42); R. Koestner (42); A. Efklides (41); H. Patrick (41); J. G. Borkowski (40); L. G. Pelletier (40); L. Corno (40); H. Jang (39); R. F. Baumeister (39); C. F. Ratelle (39); M. M. Chiu (39); C. Furrer (39); C. Abraham (39); R. Bond (39); O. Dickhauser (38); X. Liu (38); J. Li (38); K. Hau (38); M. Richardson (38); L. M. Daniels (37); R. Azevedo (37); R. G. Craven (37); R. S. Lazarus (37); W. Titz (37); K. R. Muis (36); M. Prenzel (36); M. Zeidner (36); M. L. Maehr (36); M. E. P. Seligman (36); D. M. Mcinerney (35); A. L. Duckworth (35); C. E. Weinstein (35); J. E. Jacobs (35); E. L. Leggett (35); A. Valle (34); C. Huang (34); G. V. Caprara (34); S. Lichtenfeld (34); A. S. Yeung (33); M. Csikszentmihalyi (33); R. H. Stupnisky (33); E. Diener (32); G. Buttner (32); M. Salanova (32); R. Lazarides (32); C. Senecal (32); J. G. Wellborn (32); K. T. Hau (32); T. Bouffard (31); I. Ajzen (31); A. J. S. Morin (31); S. L. Beilock (31); Y. Nie (31); H. Kuyper (31); H. A. Mcgregor (31); Z. Wang (31); M. Crede (31); T. Hascher (30); B. Galand (30); R. Hirvonen (30); Q. Wang (30); M. A. Maier (30); L. H. Anderman (30); J. C. Nunez (29); E. S. Huebner (29); K. Upadyaya (29); C. Barbaranelli (29); A. L. Reschly (29); H. M. G. Watt (29); J. J. Appleton (29); T. F. Adler (29); J. Retelsdorf (28); F. Rheinberg (28); G. A. D. Liem (28); K. M. Sheldon (28); E. Sierens (28); E. A. Patall (28); H. Liu (28); F. F. Chen (28); P. Rosario (27); G. Hagenauer (27); D. W. Putwain (27); N. Ntoumanis (27); C. Peterson (27); X. Huang (27); D. Stipek (27); M. J. Furlong (27); D. J. Stipek (27); F. J. Prins (27); J. Brophy (27); M. R. Lepper (27); P. Salovey (26); S. B. Nolen (26); M. Tschannen-Moran (26); P. Pintrich (26); M. V. Covington (26); J. Broadbent (26); M. Martinez-Pons (26); P. D. Parker (26); R. Butler (26); M. J. Belmont (26)
"Didactics, classroom knowledge and practices",67,2653,J. Hattie (115); L. Verschaffel (75); M. Kunter (74); Y. Li (60); F. Marton (59); M. Brunner (57); P. A. Alexander (55); R. Glaser (55); N. Mcelvany (54); M. Fayol (53); I. Braten (52); L. B. Resnick (50); C. Artelt (49); S. Graham (48); R. J. Shavelson (48); E. Panadero (47); E. Klieme (47); M. Gilly (47); A. Renkl (45); K. Lonka (45); J. Biggs (44); C. Bereiter (44); T. Seidel (42); M. Grossen (42); G. Vergnaud (40); D. Leutner (39); E. Fennema (38); A. Helmke (37); E. Kikas (36); W. Schnotz (36); S. Lindblom-Ylanne (36); N. Entwistle (36); H. Timperley (35); W. Blum (34); J. Chen (34); M. C. Linn (34); V. Donche (33); K. Struyven (33); R. C. Anderson (33); S. Wang (33); D. Gijbels (32); P. Stanat (32); W. J. Mckeachie (32); J. Torbeyns (31); M. Segers (31); J. Kim (31); E. Decorte (30); U. Klusmann (30); B. Schober (30); P. Ramsden (30); D. Smith (30); T. P. Carpenter (29); G. Marchand (29); H. I. Strms (28); E. Kyndt (28); T. Richter (28); W. Dooren (28); K. Trigwell (28); D. Holzberger (28); D. Kember (28); Y. Ding (28); N. J. Entwistle (27); M. L. Schubauer-Leoni (27); K. Reiss (27); K. Luwel (26); R. J. Bosker (26); L. Coertjens (25)
"Psychometrics, measurement and statistics",46,2394,P. M. Bentler (193); J. Cohen (158); O. Ludtke (135); L. Hu (100); O. Koller (89); B. O. Muthen (83); A. F. Hayes (72); J. Wang (71); R. B. Kline (71); F. Dochy (68); B. Muthen (66); B. M. Byrne (66); L. T. Hu (65); K. J. Preacher (64); L. K. Muthen (62); T. Asparouhov (49); C. K. Enders (42); S. W. Raudenbush (40); D. B. Rubin (40); Y. Rosseel (40); J. F. Hair (39); P. Bressoux (38); A. Field (36); Y. Yang (35); D. Kaplan (35); R. Schwarzer (34); D. Wechsler (33); L. S. Fidell (33); A. Robitzsch (32); J. L. Arbuckle (32); K. A. Bollen (32); B. G. Tabachnick (32); G. W. Cheung (32); M. W. Browne (31); K. G. Joreskog (31); F. Faul (31); R. Cudeck (31); A. Satorra (30); J. J. Hox (30); S. Kim (29); D. P. Mackinnon (29); R. B. Rensvold (29); N. R. Kuncel (27); P. J. Curran (27); P. Foy (26); H. Moosbrugger (26)
"Developmental, family, peer and ecological traditions",51,1955,U. Bronfenbrenner (80); R. C. Pianta (65); J. Nurmi (63); K. R. Wentzel (63); D. A. Kenny (62); R. W. Roeser (54); S. G. West (52); N. Kiuru (51); L. Steinberg (49); K. Verschueren (48); X. Zhang (47); X. Chen (46); M. Lerkkanen (45); E. M. Pomerantz (45); M. T. Wang (45); X. Li (41); B. K. Hamre (41); J. E. Nurmi (41); X. Fan (41); K. Lee (40); I. Archambault (39); P. Niemi (36); X. Yang (35); G. W. Ladd (34); J. Belsky (34); E. Leskinen (33); M. Janosz (33); L. Goossens (32); M. T. Greenberg (32); L. S. Aiken (32); H. Wimmer (31); M. Boivin (31); K. A. Dodge (31); N. Eisenberg (30); G. J. Duncan (30); K. H. Rubin (30); J. N. Hughes (30); H. M. Wellman (29); C. Lewis (29); K. Nelson (28); M. Rutter (28); L. Wang (28); S. Larose (28); P. Cohen (28); A. Tolvanen (27); E. E. Maccoby (27); C. M. Kaczala (27); C. Howes (26); A. Diamond (26); H. Chen (26); C. Chen (26)
"Individual differences, cognition and achievement",47,1790,W. Schneider (97); W. Kintsch (69); M. Pressley (61); M. T. H. Chi (61); Y. Liu (60); B. Spinath (59); G. Schraw (55); J. S. Hyde (53); M. Schneider (48); R. J. Sternberg (45); S. C. Levine (45); K. E. Stanovich (45); J. Zhang (43); D. C. Geary (40); C. A. Perfetti (40); H. A. Simon (40); P. Onghena (36); G. Nagy (35); C. J. Lonigan (34); D. Zhang (34); R. K. Wagner (34); A. Furnham (33); C. Hulme (33); E. Erdfelder (33); N. C. Jordan (32); A. Buchner (32); K. A. Ericsson (31); L. Verhoeven (31); M. A. Britt (30); J. K. Torgesen (30); J. R. Anderson (30); M. Hasselhorn (29); C. Cornoldi (29); M. V. J. Veenman (29); A. D. Baddeley (29); M. Becker (29); S. Li (29); P. Aunio (29); A. Dowker (28); B. Greer (27); D. H. Clements (27); R. Bull (26); M. C. Passolunghi (26); D. J. Purpura (26); J. Lefevre (26); L. Bradley (26); J. Bisanz (26)
"Sociocultural, dialogic and activity traditions",35,1445,L. S. Vygotsky (146); K. Aunola (71); B. Rogoff (69); R. Saljo (65); J. S. Bruner (61); E. Skinner (52); N. Mercer (51); S. Jarvela (47); J. Bruner (45); J. V. Wertsch (44); J. Lave (43); M. Cole (42); J. Guo (42); F. Fischer (38); M. Scardamalia (38); E. Wenger (36); J. Valsiner (34); C. Pontecorvo (33); R. Martin (33); Y. Jiang (32); A. Poikkeus (31); A. Collins (31); T. Zittoun (30); E. Lehtinen (29); T. Ahonen (29); A. F. Hadwin (29); G. Ross (29); S. E. Volet (28); D. Wood (28); J. Osborne (28); M. Miller (27); R. Brown (27); C. Tsai (26); K. Littleton (26); K. Pyhalto (25)
Interactionist constructivist / social-cognitive,28,1340,J. Piaget (131); G. Mugny (94); A.-N. Perret-Clermont (87); A. L. Brown (83); R. S. Siegler (75); W. Doise (75); J. H. Flavell (74); L. Mason (43); B. Inhelder (41); R. Gelman (41); S. Vosniadou (39); P. Bryant (39); B. Rittle-Johnson (38); D. Kuhn (38); S. Carey (37); P. Light (36); M. Vauras (34); A. Blaye (34); K. Rakoczy (33); J. G. Greeno (32); M. Carr (32); D. W. Johnson (31); P. Huguet (31); T. A. Kindermann (31); R. T. Johnson (28); H. G. Schmidt (28); K. Reusser (28); M. Tomasello (27)
Social representations and institutional context,22,724,F. Carugati (57); J. C. Turner (50); J. Xu (42); M. Dresel (42); C. Darnon (38); R. M. Baron (36); F. Butera (33); R. Rosenthal (32); P. Pansu (31); S. Fries (31); S. Moscovici (31); R. E. Anderson (29); S. H. Schwartz (28); F. Peixoto (28); B. Hannover (28); J. Aronson (28); R. E. Nisbett (28); W. C. Black (28); A. H. Eagly (27); S. Guimond (26); D. Sorbom (26); B. Dompnier (25)
Intervention and instructional design,16,655,R. E. Mayer (89); J. Sweller (64); X. Wang (60); P. A. Kirschner (47); J. Liu (43); F. Paas (41); H. Li (40); R. E. Slavin (36); J. D. Bransford (34); L. S. Fuchs (33); H. Mandl (30); D. Fuchs (30); M. Valcke (28); Y. Chen (28); S. Kalyuga (26); D. Boud (26)
Corporate data and policy sources,5,448,OECD (236); American Psychological Association (92); UNESCO (59); European Commission (31); M. O. Martin (30)
