decade,methodology_primary,n,decade_total,share_percent
1980,"Empirical study, method not clearly named",5,208,2.403846153846154
1980,Experimental or intervention,75,208,36.05769230769231
1980,Longitudinal,22,208,10.576923076923077
1980,Mixed methods,2,208,0.9615384615384616
1980,Psychometric or measurement,25,208,12.01923076923077
1980,Qualitative or interactional,39,208,18.75
1980,Quantitative survey or correlational,17,208,8.173076923076923
1980,"Review, theoretical, or conceptual",15,208,7.211538461538461
1980,Unspecified from available text,8,208,3.8461538461538463
1990,"Empirical study, method not clearly named",12,324,3.7037037037037033
1990,Experimental or intervention,155,324,47.839506172839506
1990,Longitudinal,21,324,6.481481481481481
1990,Mixed methods,4,324,1.2345679012345678
1990,Psychometric or measurement,37,324,11.419753086419753
1990,Qualitative or interactional,55,324,16.97530864197531
1990,Quantitative survey or correlational,13,324,4.012345679012346
1990,"Review, theoretical, or conceptual",25,324,7.716049382716049
1990,Unspecified from available text,2,324,0.6172839506172839
2000,"Empirical study, method not clearly named",2,299,0.6688963210702341
2000,Experimental or intervention,122,299,40.802675585284284
2000,Longitudinal,30,299,10.033444816053512
2000,Mixed methods,7,299,2.341137123745819
2000,Psychometric or measurement,77,299,25.75250836120401
2000,Qualitative or interactional,44,299,14.715719063545151
2000,Quantitative survey or correlational,8,299,2.6755852842809364
2000,"Review, theoretical, or conceptual",8,299,2.6755852842809364
2000,Unspecified from available text,1,299,0.33444816053511706
2010,"Empirical study, method not clearly named",2,398,0.5025125628140703
2010,Experimental or intervention,109,398,27.386934673366838
2010,Longitudinal,71,398,17.839195979899497
2010,Mixed methods,6,398,1.507537688442211
2010,Psychometric or measurement,133,398,33.41708542713568
2010,Qualitative or interactional,46,398,11.557788944723619
2010,Quantitative survey or correlational,23,398,5.778894472361809
2010,"Review, theoretical, or conceptual",7,398,1.7587939698492463
2010,Unspecified from available text,1,398,0.25125628140703515
2020,"Empirical study, method not clearly named",4,656,0.6097560975609756
2020,Experimental or intervention,199,656,30.335365853658537
2020,Longitudinal,137,656,20.884146341463413
2020,Mixed methods,24,656,3.6585365853658534
2020,Psychometric or measurement,200,656,30.48780487804878
2020,Qualitative or interactional,72,656,10.975609756097562
2020,Quantitative survey or correlational,11,656,1.676829268292683
2020,"Review, theoretical, or conceptual",7,656,1.0670731707317074
2020,Unspecified from available text,2,656,0.3048780487804878
