decade,orientation_category,orientation_label,n,decade_total,share_percent
1980,applied_psychology_in_education,Applied psychology in education,58,208,27.884615384615387
1980,context_sensitive_educational_psychology,Context-sensitive educational psychology,12,208,5.769230769230769
1980,fundamental_educational_interaction,Fundamental educational interaction,102,208,49.03846153846153
1980,methodological_measurement_contribution,Methodological or measurement contribution,7,208,3.3653846153846154
1980,theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,29,208,13.942307692307693
1990,applied_psychology_in_education,Applied psychology in education,110,324,33.95061728395062
1990,context_sensitive_educational_psychology,Context-sensitive educational psychology,23,324,7.098765432098765
1990,fundamental_educational_interaction,Fundamental educational interaction,124,324,38.2716049382716
1990,methodological_measurement_contribution,Methodological or measurement contribution,14,324,4.320987654320987
1990,theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,33,324,10.185185185185185
1990,unclear,Unclear,20,324,6.172839506172839
2000,applied_psychology_in_education,Applied psychology in education,113,299,37.79264214046823
2000,context_sensitive_educational_psychology,Context-sensitive educational psychology,22,299,7.357859531772576
2000,fundamental_educational_interaction,Fundamental educational interaction,111,299,37.12374581939799
2000,methodological_measurement_contribution,Methodological or measurement contribution,19,299,6.354515050167224
2000,theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,24,299,8.02675585284281
2000,unclear,Unclear,10,299,3.3444816053511706
2010,applied_psychology_in_education,Applied psychology in education,199,398,50.0
2010,context_sensitive_educational_psychology,Context-sensitive educational psychology,33,398,8.291457286432161
2010,fundamental_educational_interaction,Fundamental educational interaction,115,398,28.894472361809044
2010,methodological_measurement_contribution,Methodological or measurement contribution,31,398,7.788944723618091
2010,theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,9,398,2.261306532663317
2010,unclear,Unclear,11,398,2.763819095477387
2020,applied_psychology_in_education,Applied psychology in education,341,656,51.981707317073166
2020,context_sensitive_educational_psychology,Context-sensitive educational psychology,64,656,9.75609756097561
2020,fundamental_educational_interaction,Fundamental educational interaction,183,656,27.896341463414636
2020,methodological_measurement_contribution,Methodological or measurement contribution,21,656,3.201219512195122
2020,theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,23,656,3.50609756097561
2020,unclear,Unclear,24,656,3.6585365853658534
