alignment_label,orientation_label,value,percent_within_cited_alignment,percent_of_all_links
Applied mainstream,Applied psychology in education,3023,63.495064062171814,13.136053534958503
Applied mainstream,Context-sensitive educational psychology,317,6.658265070363369,1.3774822926172163
Applied mainstream,Fundamental educational interaction,970,20.373871035496744,4.215008908008517
Applied mainstream,Methodological or measurement contribution,180,3.780718336483932,0.7821666014861166
Applied mainstream,Theoretical/reflexive psychology of education,115,2.4154589371980677,0.49971755094946335
Applied mainstream,Unclear,156,3.276622558286074,0.6778777212879676
Bridge / contextual,Applied psychology in education,6808,57.56807035345848,29.58327901620823
Bridge / contextual,Context-sensitive educational psychology,1013,8.56587180788094,4.401859818363533
Bridge / contextual,Fundamental educational interaction,2854,24.1332656857771,12.401686003563203
Bridge / contextual,Methodological or measurement contribution,426,3.602232369355657,1.8511276235171423
Bridge / contextual,Theoretical/reflexive psychology of education,317,2.680534415694233,1.3774822926172163
Bridge / contextual,Unclear,408,3.450025367833587,1.772910963368531
Fundamental,Applied psychology in education,975,29.56337174044876,4.2367357580497975
Fundamental,Context-sensitive educational psychology,186,5.639781685870225,0.8082388215356537
Fundamental,Fundamental educational interaction,1647,49.93935718617344,7.156824403597967
Fundamental,Methodological or measurement contribution,114,3.4566403881140086,0.49537218094120716
Fundamental,Theoretical/reflexive psychology of education,239,7.246816252274106,1.0385434319732325
Fundamental,Unclear,137,4.154032747119466,0.5953156911310998
Methodological,Applied psychology in education,1442,58.004827031375704,6.266023551905445
Methodological,Context-sensitive educational psychology,249,10.01609010458568,1.0819971320557946
Methodological,Fundamental educational interaction,540,21.72164119066774,2.34649980445835
Methodological,Methodological or measurement contribution,150,6.033789219629927,0.6518055012384305
Methodological,Theoretical/reflexive psychology of education,21,0.8447304907481898,0.09125277017338027
Methodological,Unclear,84,3.3789219629927594,0.36501108069352106
Policy / context,Applied psychology in education,339,52.80373831775701,1.473080432798853
Policy / context,Context-sensitive educational psychology,86,13.395638629283487,0.37370182071003344
Policy / context,Fundamental educational interaction,143,22.274143302180686,0.621387911180637
Policy / context,Methodological or measurement contribution,26,4.049844236760125,0.11297962021466128
Policy / context,Theoretical/reflexive psychology of education,14,2.1806853582554515,0.06083518011558685
Policy / context,Unclear,34,5.29595015576324,0.1477425802807109
