lineage_label,orientation_label,value,percent_within_cited_lineage,percent_of_all_links
Corporate data and policy sources,Applied psychology in education,237,52.90178571428571,1.0298526919567201
Corporate data and policy sources,Context-sensitive educational psychology,54,12.053571428571429,0.23464998044583496
Corporate data and policy sources,Fundamental educational interaction,87,19.419642857142858,0.3780471907182897
Corporate data and policy sources,Methodological or measurement contribution,25,5.580357142857143,0.10863425020640509
Corporate data and policy sources,Theoretical/reflexive psychology of education,19,4.241071428571429,0.08256203015686786
Corporate data and policy sources,Unclear,26,5.803571428571429,0.11297962021466128
"Developmental, family, peer and ecological traditions",Applied psychology in education,1021,52.22506393861892,4.436622778429583
"Developmental, family, peer and ecological traditions",Context-sensitive educational psychology,246,12.583120204603581,1.068961022031026
"Developmental, family, peer and ecological traditions",Fundamental educational interaction,497,25.421994884910486,2.159648894103333
"Developmental, family, peer and ecological traditions",Methodological or measurement contribution,57,2.915601023017903,0.24768609047060358
"Developmental, family, peer and ecological traditions",Theoretical/reflexive psychology of education,57,2.915601023017903,0.24768609047060358
"Developmental, family, peer and ecological traditions",Unclear,77,3.938618925831202,0.33459349063572763
"Didactics, classroom knowledge and practices",Applied psychology in education,1176,44.327176781002635,5.110155129709295
"Didactics, classroom knowledge and practices",Context-sensitive educational psychology,192,7.237090086694309,0.8343110415851909
"Didactics, classroom knowledge and practices",Fundamental educational interaction,959,36.147757255936675,4.1672098379176985
"Didactics, classroom knowledge and practices",Methodological or measurement contribution,140,5.277044854881266,0.6083518011558684
"Didactics, classroom knowledge and practices",Theoretical/reflexive psychology of education,106,3.995476818695816,0.4606092208751575
"Didactics, classroom knowledge and practices",Unclear,80,3.015454202789295,0.34762960066049625
"Educational policy, sociology and comparative education",Applied psychology in education,150,52.44755244755245,0.6518055012384305
"Educational policy, sociology and comparative education",Context-sensitive educational psychology,39,13.636363636363635,0.1694694303219919
"Educational policy, sociology and comparative education",Fundamental educational interaction,72,25.174825174825177,0.3128666405944466
"Educational policy, sociology and comparative education",Methodological or measurement contribution,8,2.797202797202797,0.03476296006604963
"Educational policy, sociology and comparative education",Theoretical/reflexive psychology of education,5,1.7482517482517483,0.021726850041281016
"Educational policy, sociology and comparative education",Unclear,12,4.195804195804196,0.05214444009907443
"Individual differences, cognition and achievement",Applied psychology in education,1131,63.18435754189944,4.914613479337766
"Individual differences, cognition and achievement",Context-sensitive educational psychology,111,6.201117318435754,0.4823360709164386
"Individual differences, cognition and achievement",Fundamental educational interaction,377,21.06145251396648,1.6382044931125888
"Individual differences, cognition and achievement",Methodological or measurement contribution,76,4.245810055865921,0.33024812062747144
"Individual differences, cognition and achievement",Theoretical/reflexive psychology of education,45,2.5139664804469275,0.19554165037152915
"Individual differences, cognition and achievement",Unclear,50,2.793296089385475,0.21726850041281018
Interactionist constructivist / social-cognitive,Applied psychology in education,452,33.731343283582085,1.964107243731804
Interactionist constructivist / social-cognitive,Context-sensitive educational psychology,47,3.5074626865671643,0.20423239038804153
Interactionist constructivist / social-cognitive,Fundamental educational interaction,664,49.55223880597015,2.8853256854821185
Interactionist constructivist / social-cognitive,Methodological or measurement contribution,44,3.2835820895522385,0.19119628036327294
Interactionist constructivist / social-cognitive,Theoretical/reflexive psychology of education,84,6.26865671641791,0.36501108069352106
Interactionist constructivist / social-cognitive,Unclear,49,3.656716417910448,0.21292313040455393
Intervention and instructional design,Applied psychology in education,357,54.50381679389314,1.5512970929474643
Intervention and instructional design,Context-sensitive educational psychology,42,6.412213740458015,0.18250554034676053
Intervention and instructional design,Fundamental educational interaction,178,27.175572519083968,0.7734758614696041
Intervention and instructional design,Methodological or measurement contribution,34,5.190839694656488,0.1477425802807109
Intervention and instructional design,Theoretical/reflexive psychology of education,24,3.6641221374045805,0.10428888019814886
Intervention and instructional design,Unclear,20,3.0534351145038165,0.08690740016512406
"Motivation, self-regulation and identity",Applied psychology in education,5884,63.2960413080895,25.5681571285795
"Motivation, self-regulation and identity",Context-sensitive educational psychology,733,7.885111876075731,3.1851562160517966
"Motivation, self-regulation and identity",Fundamental educational interaction,1846,19.85800344234079,8.02155303524095
"Motivation, self-regulation and identity",Methodological or measurement contribution,279,3.001290877796902,1.2123582323034807
"Motivation, self-regulation and identity",Theoretical/reflexive psychology of education,214,2.302065404475043,0.9299091817668274
"Motivation, self-regulation and identity",Unclear,340,3.657487091222031,1.477425802807109
"Psychometrics, measurement and statistics",Applied psychology in education,1394,58.22890559732665,6.0574457915091475
