author_lineage_code,gilly_alignment,n_authors,n_citing_articles
motivation_self_regulation_identity,bridge_contextual,131,6860
psychometrics_measurement_statistics,methodological,46,2394
motivation_self_regulation_identity,applied_mainstream,43,2381
didactics_classroom_knowledge_practices,bridge_contextual,54,1996
developmental_family_peer_ecological,bridge_contextual,42,1557
individual_differences_cognitive_achievement,applied_mainstream,39,1475
sociocultural_dialogic_activity,fundamental,32,1335
interactionist_constructivist_social_cognitive,fundamental,21,999
social_representations_institutional_context,bridge_contextual,16,511
intervention_instructional_design,applied_mainstream,11,489
developmental_family_peer_ecological,fundamental,8,372
didactics_classroom_knowledge_practices,fundamental,8,370
corporate_data_policy_source,policy_context,4,356
individual_differences_cognitive_achievement,bridge_contextual,8,315
didactics_classroom_knowledge_practices,applied_mainstream,5,287
educational_policy_sociology_comparative,policy_context,5,286
interactionist_constructivist_social_cognitive,bridge_contextual,7,283
social_representations_institutional_context,fundamental,5,185
intervention_instructional_design,bridge_contextual,5,166
sociocultural_dialogic_activity,bridge_contextual,4,111
corporate_data_policy_source,methodological,1,92
interactionist_constructivist_social_cognitive,applied_mainstream,1,75
motivation_self_regulation_identity,fundamental,1,55
social_representations_institutional_context,applied_mainstream,1,28
theoretical_philosophical_history,bridge_contextual,1,27
developmental_family_peer_ecological,applied_mainstream,1,26
