author_lineage_code,lineage_label,citing_article_category_label,value,percent_within_cited_lineage,percent_of_all_links
corporate_data_policy_source,Corporate data and policy sources,Applied psychology in education,100,22.321428571428573,0.43453700082562036
corporate_data_policy_source,Corporate data and policy sources,Context-sensitive educational psychology,253,56.47321428571429,1.0993786120888194
corporate_data_policy_source,Corporate data and policy sources,Fundamental educational interaction,33,7.366071428571429,0.1433972102724547
corporate_data_policy_source,Corporate data and policy sources,Methodological or measurement contribution,30,6.696428571428571,0.13036110024768607
corporate_data_policy_source,Corporate data and policy sources,Theoretical/reflexive psychology of education,19,4.241071428571429,0.08256203015686786
corporate_data_policy_source,Corporate data and policy sources,Unclear,13,2.9017857142857144,0.05648981010733064
developmental_family_peer_ecological,"Developmental, family, peer and ecological traditions",Applied psychology in education,414,21.176470588235293,1.798983183418068
developmental_family_peer_ecological,"Developmental, family, peer and ecological traditions",Context-sensitive educational psychology,1227,62.76214833759591,5.331769000130361
developmental_family_peer_ecological,"Developmental, family, peer and ecological traditions",Fundamental educational interaction,157,8.0306905370844,0.6822230912962239
developmental_family_peer_ecological,"Developmental, family, peer and ecological traditions",Methodological or measurement contribution,59,3.0179028132992327,0.25637683048711596
developmental_family_peer_ecological,"Developmental, family, peer and ecological traditions",Theoretical/reflexive psychology of education,38,1.9437340153452685,0.16512406031373572
developmental_family_peer_ecological,"Developmental, family, peer and ecological traditions",Unclear,60,3.0690537084398977,0.26072220049537215
didactics_classroom_knowledge_practices,"Didactics, classroom knowledge and practices",Applied psychology in education,644,24.274406332453825,2.7984182853169948
didactics_classroom_knowledge_practices,"Didactics, classroom knowledge and practices",Context-sensitive educational psychology,1370,51.63965322276668,5.953156911310998
didactics_classroom_knowledge_practices,"Didactics, classroom knowledge and practices",Fundamental educational interaction,307,11.57180550320392,1.3340285925346542
didactics_classroom_knowledge_practices,"Didactics, classroom knowledge and practices",Methodological or measurement contribution,136,5.126272144741802,0.5909703211228436
didactics_classroom_knowledge_practices,"Didactics, classroom knowledge and practices",Theoretical/reflexive psychology of education,146,5.503203920090463,0.6344240212054056
didactics_classroom_knowledge_practices,"Didactics, classroom knowledge and practices",Unclear,50,1.8846588767433095,0.21726850041281018
educational_policy_sociology_comparative,"Educational policy, sociology and comparative education",Applied psychology in education,64,22.377622377622377,0.278103680528397
educational_policy_sociology_comparative,"Educational policy, sociology and comparative education",Context-sensitive educational psychology,193,67.48251748251748,0.8386564115934472
educational_policy_sociology_comparative,"Educational policy, sociology and comparative education",Fundamental educational interaction,14,4.895104895104895,0.06083518011558685
educational_policy_sociology_comparative,"Educational policy, sociology and comparative education",Methodological or measurement contribution,4,1.3986013986013985,0.017381480033024813
educational_policy_sociology_comparative,"Educational policy, sociology and comparative education",Theoretical/reflexive psychology of education,7,2.4475524475524475,0.030417590057793424
educational_policy_sociology_comparative,"Educational policy, sociology and comparative education",Unclear,4,1.3986013986013985,0.017381480033024813
individual_differences_cognitive_achievement,"Individual differences, cognition and achievement",Applied psychology in education,657,36.703910614525135,2.8549080954243253
individual_differences_cognitive_achievement,"Individual differences, cognition and achievement",Context-sensitive educational psychology,831,46.42458100558659,3.611002476860905
individual_differences_cognitive_achievement,"Individual differences, cognition and achievement",Fundamental educational interaction,109,6.089385474860335,0.4736453308999261
individual_differences_cognitive_achievement,"Individual differences, cognition and achievement",Methodological or measurement contribution,84,4.692737430167598,0.36501108069352106
individual_differences_cognitive_achievement,"Individual differences, cognition and achievement",Theoretical/reflexive psychology of education,53,2.9608938547486034,0.23030461043757874
individual_differences_cognitive_achievement,"Individual differences, cognition and achievement",Unclear,56,3.128491620111732,0.2433407204623474
interactionist_constructivist_social_cognitive,Interactionist constructivist / social-cognitive,Applied psychology in education,297,22.164179104477615,1.2905748924520923
